id,price,sqft,bedrooms,bathrooms,year_built,lot_size,region,style,garage,fireplace,pool
1,325000,1850,3,2,1985,0.25,North,Ranch,2,1,0
2,450000,2250,4,2.5,1995,0.33,South,Colonial,2,1,0
3,289000,1650,3,2,1978,0.2,East,Ranch,1,1,0
4,512000,2850,4,3.5,2005,0.42,West,Contemporary,2,2,1
5,380000,2100,3,2,1990,0.3,North,Split-level,2,1,0
6,695000,3500,5,3.5,2015,0.5,South,Colonial,3,2,1
7,275000,1500,2,1.5,1972,0.18,East,Ranch,1,0,0
8,529000,2750,4,3,2008,0.4,West,Contemporary,2,1,0
9,420000,2300,4,2.5,1998,0.35,North,Colonial,2,1,0
10,350000,1950,3,2,1987,0.28,South,Ranch,2,1,0
11,575000,3100,4,3,2012,0.45,East,Contemporary,2,2,0
12,299000,1700,3,1.5,1975,0.22,West,Split-level,1,1,0
13,499000,2600,4,2.5,2002,0.38,North,Colonial,2,1,0
14,399000,2200,3,2.5,1993,0.32,South,Ranch,2,1,1
15,649000,3300,5,3,2018,0.48,East,Contemporary,3,2,1
16,329000,1800,3,2,1982,0.26,West,Ranch,2,1,0
17,475000,2400,4,2.5,2000,0.36,North,Colonial,2,1,0
18,315000,1750,3,1.5,1980,0.24,South,Split-level,1,1,0
19,599000,3000,4,3.5,2010,0.44,East,Contemporary,2,2,1
20,359000,2000,3,2,1989,0.29,West,Ranch,2,1,0